"","series","baker","baker_last_name","baker_age","baker_occupation","hometown","signature_bake_1","signature_bake_2","signature_bake_3","signature_bake_4","signature_bake_5","signature_bake_6","signature_bake_7","signature_bake_8","signature_bake_9","signature_bake_10","show_stopper_1","show_stopper_2","show_stopper_3","show_stopper_4","show_stopper_5","show_stopper_6","show_stopper_7","show_stopper_8","show_stopper_9","show_stopper_10","technical_1","technical_2","technical_3","technical_4","technical_5","technical_6","technical_7","technical_8","technical_9","technical_10","result_1","result_2","result_3","result_4","result_5","result_6","result_7","result_8","result_9","result_10"
"93",8,"Stacey","Hart",42,"Former school teacher","Radlett, Hertfordshire","Granny Smith Apple and Walnut Cake","Sparkly Chocolate and Marshmallow Fluff Cookies","Cranberry and Cinnamon Teacakes","Rum Salted Caramel Millionaire Shortbreads","Bakewell Tart Steamed School Pudding","'Love Theme' Decorative Pies","My All Time Favourite Desserts","Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","'Choux-nicorn and Choux-moji' Choux Buns",NA,"'Black Evening Clutch Bag' Cake","'Get to School' Game","'Ascot Hat' Bread Sculpture","Chocolate and Coffee Caramel Cake","Tropical Trifle Terrine","Indian Hand Raised Pie with Mango","Pastry Surprise","'Bright' Lemon & Orange Savoy Cake","'Flamingos in Love' Meringue Centrepiece",NA,11,9,1,1,4,6,4,3,2,NA,"IN","IN","IN","IN","IN","IN","IN","STAR BAKER","OUT",NA
"94",8,"Steven","Carter-Bailey",34,"Marketer","Watford, Hertfordshire","Bonfire Night Cake","Amarpressi Biscuits","Madras Cocktail Teacakes","Orange Macadamia Nut Millionaire Shortbreads","Lemon & Blackcurrant Drizzle Steamed School Pudding","'Fleetwood Mac' Decorative Pies","Italian Style Cannoli","'Mediterranean Medley' Bedfordshire Clangers","Key Lime Cheesecake and Bakewell Tart Choux Buns","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","'A Baker's Lunch' Cake","'Check Bake' Game","'The Bag I Knead' Bread Sculpture","Caramel Crown Cake","'From Across the Jelly Pond' Trifle Terrine","Christmas Pie","'Sicilian-style' Sfogliatelle","Chestnut Rum Savoy Cake","'Some Air Over the Rainbow' Meringue Centrepiece","'Yin Yang' Entremet",6,6,3,7,5,3,1,1,3,1,"STAR BAKER","STAR BAKER","IN","IN","IN","IN","STAR BAKER","IN","IN","Runner-up"
"95",8,"Tom","Hetherington",29,"Architect","Edinburgh","Gilded Pear and Cardamom Cake","Coffee and Amaretto Kisses","Orange and Cranberry Teacakes","Stem Ginger Caramel Shortbreads",NA,NA,NA,NA,NA,NA,"'Stack of Books' Cake","'Drain Pipes and Ladders' Game","'Pink & Yellow Rose Centrepiece' Bread Sculpture","Hummingbird Cake",NA,NA,NA,NA,NA,NA,7,5,4,5,NA,NA,NA,NA,NA,NA,"IN","IN","IN","OUT",NA,NA,NA,NA,NA,NA
"96",9,"Antony","Amourdoux",30,"Banker","London",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9,8,NA,NA,NA,NA,NA,NA,NA,"IN","IN","OUT",NA,NA,NA,NA,NA,NA,NA
"97",9,"Briony","Williams",33,"Full-time parent","Bristol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,9,5,6,1,5,1,3,NA,"IN","IN","IN","IN","IN","STAR BAKER","IN","IN","OUT",NA
"98",9,"Dan","Beasley-Harling",36,"Full-time parent","London",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,1,2,6,NA,NA,NA,NA,"IN","IN","IN","STAR BAKER","IN","OUT",NA,NA,NA,NA
"99",9,"Imelda","McCarron",33,"Countryside recreation officer","County Tyrone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",9,"Jon","Jenkins",47,"Blood courier","Newport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,3,7,2,4,NA,NA,NA,"IN","IN","IN","IN","IN","IN","OUT",NA,NA,NA
"101",9,"Karen","Wright",60,"In-store sampling assistant","Wakefield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,5,7,9,NA,NA,NA,NA,NA,"IN","IN","IN","IN","OUT",NA,NA,NA,NA,NA
"102",9,"Kim-Joy","Hewlett",27,"Mental health specialist","Leeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,10,6,4,5,6,2,2,1,"IN","IN","IN","IN","STAR BAKER","IN","STAR BAKER","IN","IN","Runner-up"
